#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64690438,F5147DRAFT_12930,F5147DRAFT_12930,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690439,F5147DRAFT_129694,F5147DRAFT_129694,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64690440,F5147DRAFT_130334,F5147DRAFT_130334,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690441,F5147DRAFT_130565,F5147DRAFT_130565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690442,F5147DRAFT_130585,F5147DRAFT_130585,-,-,Unknown,-,acetyl-CoA carboxylase,protein-coding,-,-,-,acetyl-CoA carboxylase,20210605,-
1912936,64690443,F5147DRAFT_130607,F5147DRAFT_130607,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690444,F5147DRAFT_130689,F5147DRAFT_130689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690445,F5147DRAFT_130921,F5147DRAFT_130921,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210605,-
1912936,64690446,F5147DRAFT_131065,F5147DRAFT_131065,-,-,Unknown,-,actin interacting protein 3-domain-containing protein,protein-coding,-,-,-,actin interacting protein 3-domain-containing protein,20210605,-
1912936,64690447,F5147DRAFT_131115,F5147DRAFT_131115,-,-,Unknown,-,aspartic peptidase domain-containing protein,protein-coding,-,-,-,aspartic peptidase domain-containing protein,20210605,-
1912936,64690448,F5147DRAFT_131205,F5147DRAFT_131205,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690449,F5147DRAFT_131258,F5147DRAFT_131258,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690450,F5147DRAFT_131308,F5147DRAFT_131308,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210605,-
1912936,64690451,F5147DRAFT_131519,F5147DRAFT_131519,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210605,-
1912936,64690452,F5147DRAFT_131546,F5147DRAFT_131546,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690453,F5147DRAFT_131844,F5147DRAFT_131844,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690454,F5147DRAFT_132214,F5147DRAFT_132214,-,-,Unknown,-,EAP30/Vps36 family-domain-containing protein,protein-coding,-,-,-,EAP30/Vps36 family-domain-containing protein,20210605,-
1912936,64690455,F5147DRAFT_132222,F5147DRAFT_132222,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690456,F5147DRAFT_132256,F5147DRAFT_132256,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690457,F5147DRAFT_132358,F5147DRAFT_132358,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690458,F5147DRAFT_132463,F5147DRAFT_132463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690459,F5147DRAFT_132466,F5147DRAFT_132466,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690460,F5147DRAFT_13335,F5147DRAFT_13335,-,-,Unknown,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20210605,-
1912936,64690461,F5147DRAFT_133670,F5147DRAFT_133670,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1912936,64690462,F5147DRAFT_133675,F5147DRAFT_133675,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1912936,64690463,F5147DRAFT_133728,F5147DRAFT_133728,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1912936,64690464,F5147DRAFT_133758,F5147DRAFT_133758,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690465,F5147DRAFT_133787,F5147DRAFT_133787,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690466,F5147DRAFT_13400,F5147DRAFT_13400,-,-,Unknown,-,polysaccharide lyase family 8 protein,protein-coding,-,-,-,polysaccharide lyase family 8 protein,20210605,-
1912936,64690467,F5147DRAFT_134685,F5147DRAFT_134685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690468,F5147DRAFT_134807,F5147DRAFT_134807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690469,F5147DRAFT_134989,F5147DRAFT_134989,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690470,F5147DRAFT_135006,F5147DRAFT_135006,-,-,Unknown,-,regulator of volume decrease after cellular swelling-domain-containing protein,protein-coding,-,-,-,regulator of volume decrease after cellular swelling-domain-containing protein,20210605,-
1912936,64690471,F5147DRAFT_13508,F5147DRAFT_13508,-,-,Unknown,-,general amidase,protein-coding,-,-,-,general amidase,20210605,-
1912936,64690472,F5147DRAFT_13577,F5147DRAFT_13577,-,-,Unknown,-,dienelactone hydrolase,protein-coding,-,-,-,dienelactone hydrolase,20210605,-
1912936,64690473,F5147DRAFT_136104,F5147DRAFT_136104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690474,F5147DRAFT_136166,F5147DRAFT_136166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690475,F5147DRAFT_136389,F5147DRAFT_136389,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690476,F5147DRAFT_136391,F5147DRAFT_136391,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64690477,F5147DRAFT_136474,F5147DRAFT_136474,-,-,Unknown,-,Mak16 protein,protein-coding,-,-,-,Mak16 protein,20210605,-
1912936,64690478,F5147DRAFT_136513,F5147DRAFT_136513,-,-,Unknown,-,fatty acid hydroxylase superfamily-domain-containing protein,protein-coding,-,-,-,fatty acid hydroxylase superfamily-domain-containing protein,20210605,-
1912936,64690479,F5147DRAFT_1366,F5147DRAFT_1366,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690480,F5147DRAFT_1367,F5147DRAFT_1367,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690481,F5147DRAFT_136864,F5147DRAFT_136864,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64690482,F5147DRAFT_136933,F5147DRAFT_136933,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64690483,F5147DRAFT_136967,F5147DRAFT_136967,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690484,F5147DRAFT_137174,F5147DRAFT_137174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690485,F5147DRAFT_137560,F5147DRAFT_137560,-,-,Unknown,-,vitamin-D-receptor interacting mediator subunit 4-domain-containing protein,protein-coding,-,-,-,vitamin-D-receptor interacting mediator subunit 4-domain-containing protein,20210605,-
1912936,64690486,F5147DRAFT_138774,F5147DRAFT_138774,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690487,F5147DRAFT_139198,F5147DRAFT_139198,-,-,Unknown,-,multidrug resistance-associated ABC transporter,protein-coding,-,-,-,multidrug resistance-associated ABC transporter,20210605,-
1912936,64690488,F5147DRAFT_139589,F5147DRAFT_139589,-,-,Unknown,-,chaperonin 10-like protein,protein-coding,-,-,-,chaperonin 10-like protein,20210605,-
1912936,64690489,F5147DRAFT_139596,F5147DRAFT_139596,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64690490,F5147DRAFT_139759,F5147DRAFT_139759,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690491,F5147DRAFT_139859,F5147DRAFT_139859,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64690492,F5147DRAFT_140066,F5147DRAFT_140066,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64690493,F5147DRAFT_140078,F5147DRAFT_140078,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64690494,F5147DRAFT_140467,F5147DRAFT_140467,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690495,F5147DRAFT_140662,F5147DRAFT_140662,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690496,F5147DRAFT_140742,F5147DRAFT_140742,-,-,Unknown,-,vacuolar DHA amino acid exporter,protein-coding,-,-,-,vacuolar DHA amino acid exporter,20210605,-
1912936,64690497,F5147DRAFT_140758,F5147DRAFT_140758,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690498,F5147DRAFT_141059,F5147DRAFT_141059,-,-,Unknown,-,nuclear pore complex assembly-domain-containing protein,protein-coding,-,-,-,nuclear pore complex assembly-domain-containing protein,20210605,-
1912936,64690499,F5147DRAFT_14124,F5147DRAFT_14124,-,-,Unknown,-,NADH2 dehydrogenase,protein-coding,-,-,-,NADH2 dehydrogenase,20210605,-
1912936,64690500,F5147DRAFT_14147,F5147DRAFT_14147,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690501,F5147DRAFT_141478,F5147DRAFT_141478,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690502,F5147DRAFT_141727,F5147DRAFT_141727,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690503,F5147DRAFT_142019,F5147DRAFT_142019,-,-,Unknown,-,homoserine dehydrogenase-domain-containing protein,protein-coding,-,-,-,homoserine dehydrogenase-domain-containing protein,20210605,-
1912936,64690504,F5147DRAFT_142025,F5147DRAFT_142025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690505,F5147DRAFT_14234,F5147DRAFT_14234,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210605,-
1912936,64690506,F5147DRAFT_142351,F5147DRAFT_142351,-,-,Unknown,-,glycosyltransferase like family 2-domain-containing protein,protein-coding,-,-,-,glycosyltransferase like family 2-domain-containing protein,20210605,-
1912936,64690507,F5147DRAFT_14238,F5147DRAFT_14238,-,-,Unknown,-,Phox homologous domain-containing protein,protein-coding,-,-,-,Phox homologous domain-containing protein,20210605,-
1912936,64690508,F5147DRAFT_142389,F5147DRAFT_142389,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690509,F5147DRAFT_142656,F5147DRAFT_142656,-,-,Unknown,-,G-protein alpha subunit,protein-coding,-,-,-,G-protein alpha subunit,20210605,-
1912936,64690510,F5147DRAFT_142981,F5147DRAFT_142981,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690511,F5147DRAFT_143119,F5147DRAFT_143119,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690512,F5147DRAFT_14412,F5147DRAFT_14412,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210605,-
1912936,64690513,F5147DRAFT_144956,F5147DRAFT_144956,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64690514,F5147DRAFT_144996,F5147DRAFT_144996,-,-,Unknown,-,pyridoxal phosphate-dependent transferase,protein-coding,-,-,-,pyridoxal phosphate-dependent transferase,20210605,-
1912936,64690515,F5147DRAFT_145101,F5147DRAFT_145101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690516,F5147DRAFT_145273,F5147DRAFT_145273,-,-,Unknown,-,Bromodomain-containing protein,protein-coding,-,-,-,Bromodomain-containing protein,20210605,-
1912936,64690517,F5147DRAFT_145508,F5147DRAFT_145508,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690518,F5147DRAFT_145616,F5147DRAFT_145616,-,-,Unknown,-,cytoplasmic protein,protein-coding,-,-,-,cytoplasmic protein,20210605,-
1912936,64690519,F5147DRAFT_146237,F5147DRAFT_146237,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690520,F5147DRAFT_146419,F5147DRAFT_146419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690521,F5147DRAFT_146566,F5147DRAFT_146566,-,-,Unknown,-,reactive mitochondrial oxygen species modulator 1-domain-containing protein,protein-coding,-,-,-,reactive mitochondrial oxygen species modulator 1-domain-containing protein,20210605,-
1912936,64690522,F5147DRAFT_146627,F5147DRAFT_146627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690523,F5147DRAFT_146743,F5147DRAFT_146743,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690524,F5147DRAFT_146900,F5147DRAFT_146900,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690525,F5147DRAFT_147131,F5147DRAFT_147131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690526,F5147DRAFT_147158,F5147DRAFT_147158,-,-,Unknown,-,PIF1-like helicase-domain-containing protein,protein-coding,-,-,-,PIF1-like helicase-domain-containing protein,20210605,-
1912936,64690527,F5147DRAFT_147348,F5147DRAFT_147348,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690528,F5147DRAFT_147377,F5147DRAFT_147377,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690529,F5147DRAFT_147572,F5147DRAFT_147572,-,-,Unknown,-,NAD-P-binding protein,protein-coding,-,-,-,NAD-P-binding protein,20210605,-
1912936,64690530,F5147DRAFT_147807,F5147DRAFT_147807,-,-,Unknown,-,RdRP-domain-containing protein,protein-coding,-,-,-,RdRP-domain-containing protein,20210605,-
1912936,64690531,F5147DRAFT_147814,F5147DRAFT_147814,-,-,Unknown,-,"splicing factor, Prp19-binding domain-containing protein",protein-coding,-,-,-,"splicing factor, Prp19-binding domain-containing protein",20210605,-
1912936,64690532,F5147DRAFT_148219,F5147DRAFT_148219,-,-,Unknown,-,carbohydrate-binding module family 43 protein/Glycoside hydrolase family 72 protein,protein-coding,-,-,-,carbohydrate-binding module family 43 protein/Glycoside hydrolase family 72 protein,20210605,-
1912936,64690533,F5147DRAFT_148253,F5147DRAFT_148253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690534,F5147DRAFT_14828,F5147DRAFT_14828,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690535,F5147DRAFT_148458,F5147DRAFT_148458,-,-,Unknown,-,HSP20-like chaperone,protein-coding,-,-,-,HSP20-like chaperone,20210605,-
1912936,64690536,F5147DRAFT_148532,F5147DRAFT_148532,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690537,F5147DRAFT_14859,F5147DRAFT_14859,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690538,F5147DRAFT_148620,F5147DRAFT_148620,-,-,Unknown,-,cyclophilin-like domain-containing protein,protein-coding,-,-,-,cyclophilin-like domain-containing protein,20210605,-
1912936,64690539,F5147DRAFT_148907,F5147DRAFT_148907,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690540,F5147DRAFT_148933,F5147DRAFT_148933,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690541,F5147DRAFT_149111,F5147DRAFT_149111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690542,F5147DRAFT_149368,F5147DRAFT_149368,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64690543,F5147DRAFT_149633,F5147DRAFT_149633,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690544,F5147DRAFT_149659,F5147DRAFT_149659,-,-,Unknown,-,copper fist DNA binding domain-containing protein,protein-coding,-,-,-,copper fist DNA binding domain-containing protein,20210605,-
1912936,64690545,F5147DRAFT_14971,F5147DRAFT_14971,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690546,F5147DRAFT_149803,F5147DRAFT_149803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690547,F5147DRAFT_149927,F5147DRAFT_149927,-,-,Unknown,-,multi-copper oxidase laccase-like protein,protein-coding,-,-,-,multi-copper oxidase laccase-like protein,20210605,-
1912936,64690548,F5147DRAFT_150216,F5147DRAFT_150216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690549,F5147DRAFT_150488,F5147DRAFT_150488,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690550,F5147DRAFT_150625,F5147DRAFT_150625,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690551,F5147DRAFT_150627,F5147DRAFT_150627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690552,F5147DRAFT_150702,F5147DRAFT_150702,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690553,F5147DRAFT_15101,F5147DRAFT_15101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690554,F5147DRAFT_15136,F5147DRAFT_15136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690555,F5147DRAFT_151731,F5147DRAFT_151731,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690556,F5147DRAFT_152224,F5147DRAFT_152224,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690557,F5147DRAFT_152432,F5147DRAFT_152432,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20210605,-
1912936,64690558,F5147DRAFT_152887,F5147DRAFT_152887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
